Month,Value,Measure,Units,Geography,Status
Sep-16,1078,Volume,Million litres,K02000001,Finalised
Oct-16,1109,Volume,Million litres,K02000001,Finalised
Nov-16,1078,Volume,Million litres,K02000001,Finalised
Dec-16,1154,Volume,Million litres,K02000001,Finalised
Jan-17,1216,Volume,Million litres,K02000001,Finalised
Feb-17,1118,Volume,Million litres,K02000001,Finalised
Mar-17,1284,Volume,Million litres,K02000001,Finalised
Apr-17,1297,Volume,Million litres,K02000001,Finalised
May-17,1363,Volume,Million litres,K02000001,Finalised
Jun-17,1266,Volume,Million litres,K02000001,Finalised
Jul-17,1222,Volume,Million litres,K02000001,Finalised
Aug-17,1205,Volume,Million litres,K02000001,Finalised
Sep-17,1156,Volume,Million litres,K02000001,Finalised
Oct-17,1191,Volume,Million litres,K02000001,Finalised
Nov-17,1171,Volume,Million litres,K02000001,Finalised
Dec-17,1219,Volume,Million litres,K02000001,Finalised
Jan-18,1234,Volume,Million litres,K02000001,Finalised
Feb-18,1127,Volume,Million litres,K02000001,Finalised
Mar-18,1268,Volume,Million litres,K02000001,Finalised
Apr-18,1285,Volume,Million litres,K02000001,Finalised
May-18,1372,Volume,Million litres,K02000001,Finalised
Jun-18,1269,Volume,Million litres,K02000001,Finalised
Jul-18,1230,Volume,Million litres,K02000001,Finalised
Aug-18,1196,Volume,Million litres,K02000001,Finalised
Sep-18,1154,Volume,Million litres,K02000001,Finalised
Oct-18,1200,Volume,Million litres,K02000001,Finalised
Nov-18,1174,Volume,Million litres,K02000001,Finalised
Dec-18,1241,Volume,Million litres,K02000001,Finalised
Jan-19,1266,Volume,Million litres,K02000001,Finalised
Feb-19,1156,Volume,Million litres,K02000001,Finalised
Mar-19,1329,Volume,Million litres,K02000001,Finalised
Apr-19,1339,Volume,Million litres,K02000001,Finalised
May-19,1395,Volume,Million litres,K02000001,Finalised
Jun-19,1288,Volume,Million litres,K02000001,Finalised
Jul-19,1266,Volume,Million litres,K02000001,Finalised
Aug-19,1206,Volume,Million litres,K02000001,Finalised
Sep-19,1157,Volume,Million litres,K02000001,Finalised
Oct-19,1192,Volume,Million litres,K02000001,Finalised
Nov-19,1163,Volume,Million litres,K02000001,Finalised
Dec-19,1226,Volume,Million litres,K02000001,Finalised
Jan-20,1246,Volume,Million litres,K02000001,Finalised
Feb-20,1179,Volume,Million litres,K02000001,Finalised
Mar-20,1305,Volume,Million litres,K02000001,Finalised
Apr-20,1326,Volume,Million litres,K02000001,Finalised
May-20,1382,Volume,Million litres,K02000001,Finalised
Jun-20,1290,Volume,Million litres,K02000001,Provisional
Apr-94,4.08,Butterfat,Percentage,K02000001,Finalised
May-94,3.96,Butterfat,Percentage,K02000001,Finalised
Jun-94,3.89,Butterfat,Percentage,K02000001,Finalised
Jul-94,3.96,Butterfat,Percentage,K02000001,Finalised
Aug-94,4.01,Butterfat,Percentage,K02000001,Finalised
Sep-94,4.19,Butterfat,Percentage,K02000001,Finalised
Oct-94,4.23,Butterfat,Percentage,K02000001,Finalised
Nov-94,4.15,Butterfat,Percentage,K03000001,Finalised
Dec-94,4.12,Butterfat,Percentage,K03000001,Finalised
Jan-95,4.14,Butterfat,Percentage,K02000001,Finalised
Feb-95,4.08,Butterfat,Percentage,K02000001,Finalised
Mar-95,4.12,Butterfat,Percentage,K02000001,Finalised
Apr-95,4.07,Butterfat,Percentage,K02000001,Finalised
May-95,3.92,Butterfat,Percentage,K02000001,Finalised
Jun-95,3.95,Butterfat,Percentage,K02000001,Finalised
Jul-95,3.92,Butterfat,Percentage,K02000001,Finalised
Aug-95,3.92,Butterfat,Percentage,K02000001,Finalised
Sep-95,4.07,Butterfat,Percentage,K02000001,Finalised
Oct-95,4.15,Butterfat,Percentage,K02000001,Finalised
Nov-95,4.17,Butterfat,Percentage,K02000001,Finalised
Dec-95,4.15,Butterfat,Percentage,K02000001,Finalised
Jan-96,4.11,Butterfat,Percentage,K02000001,Finalised
Feb-96,4.13,Butterfat,Percentage,K02000001,Finalised
Mar-96,4.13,Butterfat,Percentage,K02000001,Finalised
Apr-96,4.09,Butterfat,Percentage,K02000001,Finalised
May-96,3.98,Butterfat,Percentage,K02000001,Finalised
Jun-96,3.94,Butterfat,Percentage,K02000001,Finalised
Jul-96,3.97,Butterfat,Percentage,K02000001,Finalised
Aug-96,4.03,Butterfat,Percentage,K02000001,Finalised
Sep-96,4.07,Butterfat,Percentage,K02000001,Finalised
Oct-96,4.17,Butterfat,Percentage,K02000001,Finalised
Nov-96,4.19,Butterfat,Percentage,K02000001,Finalised
Dec-96,4.22,Butterfat,Percentage,K02000001,Finalised
Jan-97,4.17,Butterfat,Percentage,K02000001,Finalised
Feb-97,4.12,Butterfat,Percentage,K02000001,Finalised
Mar-97,4.08,Butterfat,Percentage,K02000001,Finalised
Apr-97,4.06,Butterfat,Percentage,K02000001,Finalised
May-97,4.00,Butterfat,Percentage,K02000001,Finalised
Jun-97,3.98,Butterfat,Percentage,K02000001,Finalised
Jul-97,3.97,Butterfat,Percentage,K02000001,Finalised
Aug-97,3.97,Butterfat,Percentage,K02000001,Finalised
Sep-97,4.06,Butterfat,Percentage,K02000001,Finalised
Oct-97,4.16,Butterfat,Percentage,K02000001,Finalised
Nov-97,4.17,Butterfat,Percentage,K02000001,Finalised
Dec-97,4.13,Butterfat,Percentage,K02000001,Finalised
Jan-98,4.12,Butterfat,Percentage,K02000001,Finalised
Feb-98,4.09,Butterfat,Percentage,K02000001,Finalised
Mar-98,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-98,4.14,Butterfat,Percentage,K02000001,Finalised
May-98,3.99,Butterfat,Percentage,K02000001,Finalised
Jun-98,4.00,Butterfat,Percentage,K02000001,Finalised
Jul-98,3.95,Butterfat,Percentage,K02000001,Finalised
Aug-98,3.97,Butterfat,Percentage,K02000001,Finalised
Sep-98,4.07,Butterfat,Percentage,K02000001,Finalised
Oct-98,4.15,Butterfat,Percentage,K02000001,Finalised
Nov-98,4.15,Butterfat,Percentage,K02000001,Finalised
Dec-98,4.12,Butterfat,Percentage,K02000001,Finalised
Jan-99,4.08,Butterfat,Percentage,K02000001,Finalised
Feb-99,4.07,Butterfat,Percentage,K02000001,Finalised
Mar-99,4.06,Butterfat,Percentage,K02000001,Finalised
Apr-99,4.06,Butterfat,Percentage,K02000001,Finalised
May-99,3.92,Butterfat,Percentage,K02000001,Finalised
Jun-99,3.90,Butterfat,Percentage,K02000001,Finalised
Jul-99,3.88,Butterfat,Percentage,K02000001,Finalised
Aug-99,3.94,Butterfat,Percentage,K02000001,Finalised
Sep-99,4.02,Butterfat,Percentage,K02000001,Finalised
Oct-99,4.15,Butterfat,Percentage,K02000001,Finalised
Nov-99,4.17,Butterfat,Percentage,K02000001,Finalised
Dec-99,4.14,Butterfat,Percentage,K02000001,Finalised
Jan-00,4.08,Butterfat,Percentage,K02000001,Finalised
Feb-00,4.04,Butterfat,Percentage,K02000001,Finalised
Mar-00,4.03,Butterfat,Percentage,K02000001,Finalised
Apr-00,4.06,Butterfat,Percentage,K02000001,Finalised
May-00,3.91,Butterfat,Percentage,K02000001,Finalised
Jun-00,3.90,Butterfat,Percentage,K02000001,Finalised
Jul-00,3.86,Butterfat,Percentage,K02000001,Finalised
Aug-00,3.92,Butterfat,Percentage,K02000001,Finalised
Sep-00,4.04,Butterfat,Percentage,K02000001,Finalised
Oct-00,4.15,Butterfat,Percentage,K02000001,Finalised
Nov-00,4.16,Butterfat,Percentage,K02000001,Finalised
Dec-00,4.08,Butterfat,Percentage,K02000001,Finalised
Jan-01,4.06,Butterfat,Percentage,K02000001,Finalised
Feb-01,4.02,Butterfat,Percentage,K02000001,Finalised
Mar-01,4.06,Butterfat,Percentage,K02000001,Finalised
Apr-01,4.05,Butterfat,Percentage,K02000001,Finalised
May-01,3.85,Butterfat,Percentage,K02000001,Finalised
Jun-01,3.84,Butterfat,Percentage,K02000001,Finalised
Jul-01,3.86,Butterfat,Percentage,K02000001,Finalised
Aug-01,3.90,Butterfat,Percentage,K02000001,Finalised
Sep-01,4.01,Butterfat,Percentage,K02000001,Finalised
Oct-01,4.11,Butterfat,Percentage,K02000001,Finalised
Nov-01,4.12,Butterfat,Percentage,K02000001,Finalised
Dec-01,4.11,Butterfat,Percentage,K02000001,Finalised
Jan-02,4.07,Butterfat,Percentage,K02000001,Finalised
Feb-02,4.03,Butterfat,Percentage,K02000001,Finalised
Mar-02,4.05,Butterfat,Percentage,K02000001,Finalised
Apr-02,3.99,Butterfat,Percentage,K02000001,Finalised
May-02,3.89,Butterfat,Percentage,K02000001,Finalised
Jun-02,3.89,Butterfat,Percentage,K02000001,Finalised
Jul-02,3.84,Butterfat,Percentage,K02000001,Finalised
Aug-02,3.86,Butterfat,Percentage,K02000001,Finalised
Sep-02,3.95,Butterfat,Percentage,K02000001,Finalised
Oct-02,4.08,Butterfat,Percentage,K02000001,Finalised
Nov-02,4.12,Butterfat,Percentage,K02000001,Finalised
Dec-02,4.08,Butterfat,Percentage,K02000001,Finalised
Jan-03,4.02,Butterfat,Percentage,K02000001,Finalised
Feb-03,4.02,Butterfat,Percentage,K02000001,Finalised
Mar-03,3.98,Butterfat,Percentage,K02000001,Finalised
Apr-03,3.89,Butterfat,Percentage,K02000001,Finalised
May-03,3.82,Butterfat,Percentage,K02000001,Finalised
Jun-03,3.79,Butterfat,Percentage,K02000001,Finalised
Jul-03,3.83,Butterfat,Percentage,K02000001,Finalised
Aug-03,3.87,Butterfat,Percentage,K02000001,Finalised
Sep-03,4.02,Butterfat,Percentage,K02000001,Finalised
Oct-03,4.14,Butterfat,Percentage,K02000001,Finalised
Nov-03,4.18,Butterfat,Percentage,K02000001,Finalised
Dec-03,4.11,Butterfat,Percentage,K02000001,Finalised
Jan-04,4.02,Butterfat,Percentage,K02000001,Finalised
Feb-04,4.00,Butterfat,Percentage,K02000001,Finalised
Mar-04,4.05,Butterfat,Percentage,K02000001,Finalised
Apr-04,4.00,Butterfat,Percentage,K02000001,Finalised
May-04,3.81,Butterfat,Percentage,K02000001,Finalised
Jun-04,3.81,Butterfat,Percentage,K02000001,Finalised
Jul-04,3.87,Butterfat,Percentage,K02000001,Finalised
Aug-04,3.89,Butterfat,Percentage,K02000001,Finalised
Sep-04,4.05,Butterfat,Percentage,K02000001,Finalised
Oct-04,4.16,Butterfat,Percentage,K02000001,Finalised
Nov-04,4.15,Butterfat,Percentage,K02000001,Finalised
Dec-04,4.11,Butterfat,Percentage,K02000001,Finalised
Jan-05,4.10,Butterfat,Percentage,K02000001,Finalised
Feb-05,4.08,Butterfat,Percentage,K02000001,Finalised
Mar-05,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-05,4.02,Butterfat,Percentage,K02000001,Finalised
May-05,3.87,Butterfat,Percentage,K02000001,Finalised
Jun-05,3.86,Butterfat,Percentage,K02000001,Finalised
Jul-05,3.90,Butterfat,Percentage,K02000001,Finalised
Aug-05,3.93,Butterfat,Percentage,K02000001,Finalised
Sep-05,4.04,Butterfat,Percentage,K02000001,Finalised
Oct-05,4.11,Butterfat,Percentage,K02000001,Finalised
Nov-05,4.16,Butterfat,Percentage,K02000001,Finalised
Dec-05,4.15,Butterfat,Percentage,K02000001,Finalised
Jan-06,4.10,Butterfat,Percentage,K02000001,Finalised
Feb-06,4.06,Butterfat,Percentage,K02000001,Finalised
Mar-06,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-06,4.09,Butterfat,Percentage,K02000001,Finalised
May-06,3.93,Butterfat,Percentage,K02000001,Finalised
Jun-06,3.83,Butterfat,Percentage,K02000001,Finalised
Jul-06,3.84,Butterfat,Percentage,K02000001,Finalised
Aug-06,3.97,Butterfat,Percentage,K02000001,Finalised
Sep-06,4.06,Butterfat,Percentage,K02000001,Finalised
Oct-06,4.13,Butterfat,Percentage,K02000001,Finalised
Nov-06,4.17,Butterfat,Percentage,K02000001,Finalised
Dec-06,4.19,Butterfat,Percentage,K02000001,Finalised
Jan-07,4.13,Butterfat,Percentage,K02000001,Finalised
Feb-07,4.08,Butterfat,Percentage,K02000001,Finalised
Mar-07,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-07,4.02,Butterfat,Percentage,K02000001,Finalised
May-07,3.92,Butterfat,Percentage,K02000001,Finalised
Jun-07,3.89,Butterfat,Percentage,K02000001,Finalised
Jul-07,3.93,Butterfat,Percentage,K02000001,Finalised
Aug-07,3.97,Butterfat,Percentage,K02000001,Finalised
Sep-07,4.06,Butterfat,Percentage,K02000001,Finalised
Oct-07,4.17,Butterfat,Percentage,K02000001,Finalised
Nov-07,4.23,Butterfat,Percentage,K02000001,Finalised
Dec-07,4.20,Butterfat,Percentage,K02000001,Finalised
Jan-08,4.13,Butterfat,Percentage,K02000001,Finalised
Feb-08,4.10,Butterfat,Percentage,K02000001,Finalised
Mar-08,4.13,Butterfat,Percentage,K02000001,Finalised
Apr-08,4.09,Butterfat,Percentage,K02000001,Finalised
May-08,3.90,Butterfat,Percentage,K02000001,Finalised
Jun-08,3.92,Butterfat,Percentage,K02000001,Finalised
Jul-08,3.87,Butterfat,Percentage,K02000001,Finalised
Aug-08,4.02,Butterfat,Percentage,K02000001,Finalised
Sep-08,4.11,Butterfat,Percentage,K02000001,Finalised
Oct-08,4.16,Butterfat,Percentage,K02000001,Finalised
Nov-08,4.19,Butterfat,Percentage,K02000001,Finalised
Dec-08,4.19,Butterfat,Percentage,K02000001,Finalised
Jan-09,4.14,Butterfat,Percentage,K02000001,Finalised
Feb-09,4.12,Butterfat,Percentage,K02000001,Finalised
Mar-09,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-09,4.04,Butterfat,Percentage,K02000001,Finalised
May-09,3.93,Butterfat,Percentage,K02000001,Finalised
Jun-09,3.78,Butterfat,Percentage,K02000001,Finalised
Jul-09,3.83,Butterfat,Percentage,K02000001,Finalised
Aug-09,3.90,Butterfat,Percentage,K02000001,Finalised
Sep-09,4.00,Butterfat,Percentage,K02000001,Finalised
Oct-09,4.04,Butterfat,Percentage,K02000001,Finalised
Nov-09,4.08,Butterfat,Percentage,K02000001,Finalised
Dec-09,4.10,Butterfat,Percentage,K02000001,Finalised
Jan-10,4.11,Butterfat,Percentage,K02000001,Finalised
Feb-10,4.07,Butterfat,Percentage,K02000001,Finalised
Mar-10,4.04,Butterfat,Percentage,K02000001,Finalised
Apr-10,3.94,Butterfat,Percentage,K02000001,Finalised
May-10,3.80,Butterfat,Percentage,K02000001,Finalised
Jun-10,3.76,Butterfat,Percentage,K02000001,Finalised
Jul-10,3.82,Butterfat,Percentage,K02000001,Finalised
Aug-10,3.85,Butterfat,Percentage,K02000001,Finalised
Sep-10,3.92,Butterfat,Percentage,K02000001,Finalised
Oct-10,4.03,Butterfat,Percentage,K02000001,Finalised
Nov-10,4.11,Butterfat,Percentage,K02000001,Finalised
Dec-10,4.15,Butterfat,Percentage,K02000001,Finalised
Jan-11,4.03,Butterfat,Percentage,K02000001,Finalised
Feb-11,3.99,Butterfat,Percentage,K02000001,Finalised
Mar-11,4.08,Butterfat,Percentage,K02000001,Finalised
Apr-11,4.02,Butterfat,Percentage,K02000001,Finalised
May-11,3.90,Butterfat,Percentage,K02000001,Finalised
Jun-11,3.94,Butterfat,Percentage,K02000001,Finalised
Jul-11,3.92,Butterfat,Percentage,K02000001,Finalised
Aug-11,4.00,Butterfat,Percentage,K02000001,Finalised
Sep-11,4.10,Butterfat,Percentage,K02000001,Finalised
Oct-11,4.13,Butterfat,Percentage,K02000001,Finalised
Nov-11,4.18,Butterfat,Percentage,K02000001,Finalised
Dec-11,4.20,Butterfat,Percentage,K02000001,Finalised
Jan-12,4.14,Butterfat,Percentage,K02000001,Finalised
Feb-12,4.13,Butterfat,Percentage,K02000001,Finalised
Mar-12,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-12,4.06,Butterfat,Percentage,K02000001,Finalised
May-12,3.97,Butterfat,Percentage,K02000001,Finalised
Jun-12,3.93,Butterfat,Percentage,K02000001,Finalised
Jul-12,3.94,Butterfat,Percentage,K02000001,Finalised
Aug-12,4.00,Butterfat,Percentage,K02000001,Finalised
Sep-12,4.11,Butterfat,Percentage,K02000001,Finalised
Oct-12,4.19,Butterfat,Percentage,K02000001,Finalised
Nov-12,4.20,Butterfat,Percentage,K02000001,Finalised
Dec-12,4.18,Butterfat,Percentage,K02000001,Finalised
Jan-13,4.11,Butterfat,Percentage,K02000001,Finalised
Feb-13,4.13,Butterfat,Percentage,K02000001,Finalised
Mar-13,4.13,Butterfat,Percentage,K02000001,Finalised
Apr-13,4.10,Butterfat,Percentage,K02000001,Finalised
May-13,3.91,Butterfat,Percentage,K02000001,Finalised
Jun-13,3.84,Butterfat,Percentage,K02000001,Finalised
Jul-13,3.82,Butterfat,Percentage,K02000001,Finalised
Aug-13,3.92,Butterfat,Percentage,K02000001,Finalised
Sep-13,4.06,Butterfat,Percentage,K02000001,Finalised
Oct-13,4.08,Butterfat,Percentage,K02000001,Finalised
Nov-13,4.18,Butterfat,Percentage,K02000001,Finalised
Dec-13,4.12,Butterfat,Percentage,K02000001,Finalised
Jan-14,4.07,Butterfat,Percentage,K02000001,Finalised
Feb-14,4.07,Butterfat,Percentage,K02000001,Finalised
Mar-14,4.06,Butterfat,Percentage,K02000001,Finalised
Apr-14,4.01,Butterfat,Percentage,K02000001,Finalised
May-14,3.90,Butterfat,Percentage,K02000001,Finalised
Jun-14,3.84,Butterfat,Percentage,K02000001,Finalised
Jul-14,3.84,Butterfat,Percentage,K02000001,Finalised
Aug-14,3.92,Butterfat,Percentage,K02000001,Finalised
Sep-14,3.97,Butterfat,Percentage,K02000001,Finalised
Oct-14,4.08,Butterfat,Percentage,K02000001,Finalised
Nov-14,4.11,Butterfat,Percentage,K02000001,Finalised
Dec-14,4.10,Butterfat,Percentage,K02000001,Finalised
Jan-15,4.07,Butterfat,Percentage,K02000001,Finalised
Feb-15,4.09,Butterfat,Percentage,K02000001,Finalised
Mar-15,4.10,Butterfat,Percentage,K02000001,Finalised
Apr-15,4.02,Butterfat,Percentage,K02000001,Finalised
May-15,3.91,Butterfat,Percentage,K02000001,Finalised
Jun-15,3.90,Butterfat,Percentage,K02000001,Finalised
Jul-15,3.83,Butterfat,Percentage,K02000001,Finalised
Aug-15,3.99,Butterfat,Percentage,K02000001,Finalised
Sep-15,4.03,Butterfat,Percentage,K02000001,Finalised
Oct-15,4.12,Butterfat,Percentage,K02000001,Finalised
Nov-15,4.15,Butterfat,Percentage,K02000001,Finalised
Dec-15,4.13,Butterfat,Percentage,K02000001,Finalised
Jan-16,4.15,Butterfat,Percentage,K02000001,Finalised
Feb-16,4.18,Butterfat,Percentage,K02000001,Finalised
Mar-16,4.20,Butterfat,Percentage,K02000001,Finalised
Apr-16,4.16,Butterfat,Percentage,K02000001,Finalised
May-16,3.99,Butterfat,Percentage,K02000001,Finalised
Jun-16,3.94,Butterfat,Percentage,K02000001,Finalised
Jul-16,3.94,Butterfat,Percentage,K02000001,Finalised
Aug-16,3.98,Butterfat,Percentage,K02000001,Finalised
Sep-16,4.09,Butterfat,Percentage,K02000001,Finalised
Oct-16,4.18,Butterfat,Percentage,K02000001,Finalised
Nov-16,4.25,Butterfat,Percentage,K02000001,Finalised
Dec-16,4.19,Butterfat,Percentage,K02000001,Finalised
Jan-17,4.12,Butterfat,Percentage,K02000001,Finalised
Feb-17,4.13,Butterfat,Percentage,K02000001,Finalised
Mar-17,4.12,Butterfat,Percentage,K02000001,Finalised
Apr-17,4.06,Butterfat,Percentage,K02000001,Finalised
May-17,3.95,Butterfat,Percentage,K02000001,Finalised
Jun-17,3.93,Butterfat,Percentage,K02000001,Finalised
Jul-17,3.93,Butterfat,Percentage,K02000001,Finalised
Aug-17,4.01,Butterfat,Percentage,K02000001,Finalised
Sep-17,4.13,Butterfat,Percentage,K02000001,Finalised
Oct-17,4.18,Butterfat,Percentage,K02000001,Finalised
Nov-17,4.19,Butterfat,Percentage,K02000001,Finalised
Dec-17,4.20,Butterfat,Percentage,K02000001,Finalised
Jan-18,4.16,Butterfat,Percentage,K02000001,Finalised
Feb-18,4.17,Butterfat,Percentage,K02000001,Finalised
Mar-18,4.21,Butterfat,Percentage,K02000001,Finalised
Apr-18,4.13,Butterfat,Percentage,K02000001,Finalised
May-18,3.97,Butterfat,Percentage,K02000001,Finalised
Jun-18,3.90,Butterfat,Percentage,K02000001,Finalised
Jul-18,3.89,Butterfat,Percentage,K02000001,Finalised
Aug-18,3.98,Butterfat,Percentage,K02000001,Finalised
Sep-18,4.09,Butterfat,Percentage,K02000001,Finalised
Oct-18,4.17,Butterfat,Percentage,K02000001,Finalised
Nov-18,4.20,Butterfat,Percentage,K02000001,Finalised
Dec-18,4.15,Butterfat,Percentage,K02000001,Finalised
Jan-19,4.09,Butterfat,Percentage,K02000001,Finalised
Feb-19,4.10,Butterfat,Percentage,K02000001,Finalised
Mar-19,4.12,Butterfat,Percentage,K02000001,Finalised
Apr-19,4.05,Butterfat,Percentage,K02000001,Finalised
May-19,3.96,Butterfat,Percentage,K02000001,Finalised
Jun-19,3.98,Butterfat,Percentage,K02000001,Finalised
Jul-19,3.96,Butterfat,Percentage,K02000001,Finalised
Aug-19,4.03,Butterfat,Percentage,K02000001,Finalised
Sep-19,4.14,Butterfat,Percentage,K02000001,Finalised
Oct-19,4.24,Butterfat,Percentage,K02000001,Finalised
Nov-19,4.31,Butterfat,Percentage,K02000001,Finalised
Dec-19,4.26,Butterfat,Percentage,K02000001,Finalised
Jan-20,4.17,Butterfat,Percentage,K02000001,Finalised
Feb-20,4.19,Butterfat,Percentage,K02000001,Finalised
Mar-20,4.22,Butterfat,Percentage,K02000001,Finalised
Apr-20,4.11,Butterfat,Percentage,K02000001,Finalised
May-20,3.99,Butterfat,Percentage,K02000001,Finalised
Jun-20,3.99,Butterfat,Percentage,K02000001,Provisional
Nov-94,3.26,Protein,Percentage,K03000001,Finalised
Dec-94,3.21,Protein,Percentage,K03000001,Finalised
Jan-95,3.16,Protein,Percentage,K02000001,Finalised
Feb-95,3.12,Protein,Percentage,K02000001,Finalised
Mar-95,3.14,Protein,Percentage,K02000001,Finalised
Apr-95,3.16,Protein,Percentage,K02000001,Finalised
May-95,3.29,Protein,Percentage,K02000001,Finalised
Jun-95,3.31,Protein,Percentage,K02000001,Finalised
Jul-95,3.20,Protein,Percentage,K02000001,Finalised
Aug-95,3.18,Protein,Percentage,K02000001,Finalised
Sep-95,3.29,Protein,Percentage,K02000001,Finalised
Oct-95,3.36,Protein,Percentage,K02000001,Finalised
Nov-95,3.35,Protein,Percentage,K02000001,Finalised
Dec-95,3.30,Protein,Percentage,K02000001,Finalised
Jan-96,3.22,Protein,Percentage,K02000001,Finalised
Feb-96,3.20,Protein,Percentage,K02000001,Finalised
Mar-96,3.20,Protein,Percentage,K02000001,Finalised
Apr-96,3.18,Protein,Percentage,K02000001,Finalised
May-96,3.36,Protein,Percentage,K02000001,Finalised
Jun-96,3.33,Protein,Percentage,K02000001,Finalised
Jul-96,3.32,Protein,Percentage,K02000001,Finalised
Aug-96,3.28,Protein,Percentage,K02000001,Finalised
Sep-96,3.37,Protein,Percentage,K02000001,Finalised
Oct-96,3.38,Protein,Percentage,K02000001,Finalised
Nov-96,3.34,Protein,Percentage,K02000001,Finalised
Dec-96,3.30,Protein,Percentage,K02000001,Finalised
Jan-97,3.25,Protein,Percentage,K02000001,Finalised
Feb-97,3.19,Protein,Percentage,K02000001,Finalised
Mar-97,3.19,Protein,Percentage,K02000001,Finalised
Apr-97,3.30,Protein,Percentage,K02000001,Finalised
May-97,3.33,Protein,Percentage,K02000001,Finalised
Jun-97,3.33,Protein,Percentage,K02000001,Finalised
Jul-97,3.30,Protein,Percentage,K02000001,Finalised
Aug-97,3.28,Protein,Percentage,K02000001,Finalised
Sep-97,3.38,Protein,Percentage,K02000001,Finalised
Oct-97,3.39,Protein,Percentage,K02000001,Finalised
Nov-97,3.36,Protein,Percentage,K02000001,Finalised
Dec-97,3.30,Protein,Percentage,K02000001,Finalised
Jan-98,3.25,Protein,Percentage,K02000001,Finalised
Feb-98,3.22,Protein,Percentage,K02000001,Finalised
Mar-98,3.19,Protein,Percentage,K02000001,Finalised
Apr-98,3.21,Protein,Percentage,K02000001,Finalised
May-98,3.31,Protein,Percentage,K02000001,Finalised
Jun-98,3.31,Protein,Percentage,K02000001,Finalised
Jul-98,3.33,Protein,Percentage,K02000001,Finalised
Aug-98,3.35,Protein,Percentage,K02000001,Finalised
Sep-98,3.40,Protein,Percentage,K02000001,Finalised
Oct-98,3.41,Protein,Percentage,K02000001,Finalised
Nov-98,3.33,Protein,Percentage,K02000001,Finalised
Dec-98,3.26,Protein,Percentage,K02000001,Finalised
Jan-99,3.22,Protein,Percentage,K02000001,Finalised
Feb-99,3.21,Protein,Percentage,K02000001,Finalised
Mar-99,3.21,Protein,Percentage,K02000001,Finalised
Apr-99,3.22,Protein,Percentage,K02000001,Finalised
May-99,3.31,Protein,Percentage,K02000001,Finalised
Jun-99,3.31,Protein,Percentage,K02000001,Finalised
Jul-99,3.30,Protein,Percentage,K02000001,Finalised
Aug-99,3.32,Protein,Percentage,K02000001,Finalised
Sep-99,3.40,Protein,Percentage,K02000001,Finalised
Oct-99,3.43,Protein,Percentage,K02000001,Finalised
Nov-99,3.37,Protein,Percentage,K02000001,Finalised
Dec-99,3.31,Protein,Percentage,K02000001,Finalised
Jan-00,3.24,Protein,Percentage,K02000001,Finalised
Feb-00,3.21,Protein,Percentage,K02000001,Finalised
Mar-00,3.20,Protein,Percentage,K02000001,Finalised
Apr-00,3.22,Protein,Percentage,K02000001,Finalised
May-00,3.30,Protein,Percentage,K02000001,Finalised
Jun-00,3.29,Protein,Percentage,K02000001,Finalised
Jul-00,3.29,Protein,Percentage,K02000001,Finalised
Aug-00,3.31,Protein,Percentage,K02000001,Finalised
Sep-00,3.39,Protein,Percentage,K02000001,Finalised
Oct-00,3.37,Protein,Percentage,K02000001,Finalised
Nov-00,3.33,Protein,Percentage,K02000001,Finalised
Dec-00,3.28,Protein,Percentage,K02000001,Finalised
Jan-01,3.24,Protein,Percentage,K02000001,Finalised
Feb-01,3.21,Protein,Percentage,K02000001,Finalised
Mar-01,3.21,Protein,Percentage,K02000001,Finalised
Apr-01,3.20,Protein,Percentage,K02000001,Finalised
May-01,3.27,Protein,Percentage,K02000001,Finalised
Jun-01,3.28,Protein,Percentage,K02000001,Finalised
Jul-01,3.26,Protein,Percentage,K02000001,Finalised
Aug-01,3.29,Protein,Percentage,K02000001,Finalised
Sep-01,3.42,Protein,Percentage,K02000001,Finalised
Oct-01,3.39,Protein,Percentage,K02000001,Finalised
Nov-01,3.38,Protein,Percentage,K02000001,Finalised
Dec-01,3.34,Protein,Percentage,K02000001,Finalised
Jan-02,3.28,Protein,Percentage,K02000001,Finalised
Feb-02,3.22,Protein,Percentage,K02000001,Finalised
Mar-02,3.23,Protein,Percentage,K02000001,Finalised
Apr-02,3.26,Protein,Percentage,K02000001,Finalised
May-02,3.32,Protein,Percentage,K02000001,Finalised
Jun-02,3.28,Protein,Percentage,K02000001,Finalised
Jul-02,3.28,Protein,Percentage,K02000001,Finalised
Aug-02,3.29,Protein,Percentage,K02000001,Finalised
Sep-02,3.38,Protein,Percentage,K02000001,Finalised
Oct-02,3.41,Protein,Percentage,K02000001,Finalised
Nov-02,3.35,Protein,Percentage,K02000001,Finalised
Dec-02,3.30,Protein,Percentage,K02000001,Finalised
Jan-03,3.25,Protein,Percentage,K02000001,Finalised
Feb-03,3.25,Protein,Percentage,K02000001,Finalised
Mar-03,3.21,Protein,Percentage,K02000001,Finalised
Apr-03,3.26,Protein,Percentage,K02000001,Finalised
May-03,3.34,Protein,Percentage,K02000001,Finalised
