Month,Geography,Measure type,Unit of Measure,Value
1979-08,K02000001,Price,Pence per litre,11
1979-09,K02000001,Price,Pence per litre,11.35
1979-10,K02000001,Price,Pence per litre,11.91
1979-11,K02000001,Price,Pence per litre,12.23
1979-12,K02000001,Price,Pence per litre,12.26
1980-01,K02000001,Price,Pence per litre,12.41
1980-02,K02000001,Price,Pence per litre,12.92
1980-03,K02000001,Price,Pence per litre,12.8
1980-04,K02000001,Price,Pence per litre,12.47
1980-05,K02000001,Price,Pence per litre,11.56
1980-06,K02000001,Price,Pence per litre,11.55
1980-07,K02000001,Price,Pence per litre,11.93
1980-08,K02000001,Price,Pence per litre,12.37
1980-09,K02000001,Price,Pence per litre,12.72
1980-10,K02000001,Price,Pence per litre,13.29
1980-11,K02000001,Price,Pence per litre,13.4
1980-12,K02000001,Price,Pence per litre,13.44
1981-01,K02000001,Price,Pence per litre,13.45
1981-02,K02000001,Price,Pence per litre,13.41
1981-03,K02000001,Price,Pence per litre,13.28
1981-04,K02000001,Price,Pence per litre,13.43
1981-05,K02000001,Price,Pence per litre,12.6
1981-06,K02000001,Price,Pence per litre,12.59
1981-07,K02000001,Price,Pence per litre,12.97
1981-08,K02000001,Price,Pence per litre,13.4
1981-09,K02000001,Price,Pence per litre,13.75
1981-10,K02000001,Price,Pence per litre,14.32
1981-11,K02000001,Price,Pence per litre,14.42
1981-12,K02000001,Price,Pence per litre,14.46
1982-01,K02000001,Price,Pence per litre,14.48
1982-02,K02000001,Price,Pence per litre,14.43
1982-03,K02000001,Price,Pence per litre,14.3
1982-04,K02000001,Price,Pence per litre,14.41
1982-05,K02000001,Price,Pence per litre,13.76
1982-06,K02000001,Price,Pence per litre,13.58
1982-07,K02000001,Price,Pence per litre,13.96
1982-08,K02000001,Price,Pence per litre,14.38
1982-09,K02000001,Price,Pence per litre,14.73
1982-10,K02000001,Price,Pence per litre,15.44
1982-11,K02000001,Price,Pence per litre,15.5
1982-12,K02000001,Price,Pence per litre,15.54
1983-01,K02000001,Price,Pence per litre,15.52
1983-02,K02000001,Price,Pence per litre,15.56
1983-03,K02000001,Price,Pence per litre,15.38
1983-04,K02000001,Price,Pence per litre,14.28
1983-05,K02000001,Price,Pence per litre,13.45
1983-06,K02000001,Price,Pence per litre,13.45
1983-07,K02000001,Price,Pence per litre,13.74
1983-08,K02000001,Price,Pence per litre,14.17
1983-09,K02000001,Price,Pence per litre,14.62
1983-10,K02000001,Price,Pence per litre,15.27
1983-11,K02000001,Price,Pence per litre,15.41
1983-12,K02000001,Price,Pence per litre,15.45
1984-01,K02000001,Price,Pence per litre,15.48
1984-02,K02000001,Price,Pence per litre,15.5
1984-03,K02000001,Price,Pence per litre,15.31
1984-04,K02000001,Price,Pence per litre,13.8
1984-05,K02000001,Price,Pence per litre,12.17
1984-06,K02000001,Price,Pence per litre,12.33
1984-07,K02000001,Price,Pence per litre,14.27
1984-08,K02000001,Price,Pence per litre,15.41
1984-09,K02000001,Price,Pence per litre,15.94
1984-10,K02000001,Price,Pence per litre,15.8
1984-11,K02000001,Price,Pence per litre,15.48
1984-12,K02000001,Price,Pence per litre,15.32
1985-01,K02000001,Price,Pence per litre,15.36
1985-02,K02000001,Price,Pence per litre,15.36
1985-03,K02000001,Price,Pence per litre,14.98
1985-04,K02000001,Price,Pence per litre,14.28
1985-05,K02000001,Price,Pence per litre,12.71
1985-06,K02000001,Price,Pence per litre,12.87
1985-07,K02000001,Price,Pence per litre,14.89
1985-08,K02000001,Price,Pence per litre,15.22
1985-09,K02000001,Price,Pence per litre,16.46
1985-10,K02000001,Price,Pence per litre,16.23
1985-11,K02000001,Price,Pence per litre,16.19
1985-12,K02000001,Price,Pence per litre,15.76
1986-01,K02000001,Price,Pence per litre,15.73
1986-02,K02000001,Price,Pence per litre,15.47
1986-03,K02000001,Price,Pence per litre,15.04
1986-04,K02000001,Price,Pence per litre,14.88
1986-05,K02000001,Price,Pence per litre,13.28
1986-06,K02000001,Price,Pence per litre,13.42
1986-07,K02000001,Price,Pence per litre,15.53
1986-08,K02000001,Price,Pence per litre,16.84
1986-09,K02000001,Price,Pence per litre,17.21
1986-10,K02000001,Price,Pence per litre,16.97
1986-11,K02000001,Price,Pence per litre,16.78
1986-12,K02000001,Price,Pence per litre,16.48
1987-01,K02000001,Price,Pence per litre,16.45
1987-02,K02000001,Price,Pence per litre,16.33
1987-03,K02000001,Price,Pence per litre,16.05
1987-04,K02000001,Price,Pence per litre,15.35
1987-05,K02000001,Price,Pence per litre,13.89
1987-06,K02000001,Price,Pence per litre,14.13
1987-07,K02000001,Price,Pence per litre,16.22
1987-08,K02000001,Price,Pence per litre,17.33
1987-09,K02000001,Price,Pence per litre,17.74
1987-10,K02000001,Price,Pence per litre,17.45
1987-11,K02000001,Price,Pence per litre,17.06
1987-12,K02000001,Price,Pence per litre,16.97
1988-01,K02000001,Price,Pence per litre,16.75
1988-02,K02000001,Price,Pence per litre,16.72
1988-03,K02000001,Price,Pence per litre,16.52
1988-04,K02000001,Price,Pence per litre,16.68
1988-05,K02000001,Price,Pence per litre,15.05
1988-06,K02000001,Price,Pence per litre,15.6
1988-07,K02000001,Price,Pence per litre,18.16
1988-08,K02000001,Price,Pence per litre,19.45
1988-09,K02000001,Price,Pence per litre,19.28
1988-10,K02000001,Price,Pence per litre,18.53
1988-11,K02000001,Price,Pence per litre,18.31
1988-12,K02000001,Price,Pence per litre,17.81
1989-01,K02000001,Price,Pence per litre,17.58
1989-02,K02000001,Price,Pence per litre,17.61
1989-03,K02000001,Price,Pence per litre,17.71
1989-04,K02000001,Price,Pence per litre,16.44
1989-05,K02000001,Price,Pence per litre,14.91
1989-06,K02000001,Price,Pence per litre,15.65
1989-07,K02000001,Price,Pence per litre,20.74
1989-08,K02000001,Price,Pence per litre,22.16
1989-09,K02000001,Price,Pence per litre,21.89
1989-10,K02000001,Price,Pence per litre,21.44
1989-11,K02000001,Price,Pence per litre,18.17
1989-12,K02000001,Price,Pence per litre,18.24
1990-01,K02000001,Price,Pence per litre,18.3
1990-02,K02000001,Price,Pence per litre,18.12
1990-03,K02000001,Price,Pence per litre,17.91
1990-04,K02000001,Price,Pence per litre,16.68
1990-05,K02000001,Price,Pence per litre,14.89
1990-06,K02000001,Price,Pence per litre,15.57
1990-07,K02000001,Price,Pence per litre,20.83
1990-08,K02000001,Price,Pence per litre,21.98
1990-09,K02000001,Price,Pence per litre,21.76
1990-10,K02000001,Price,Pence per litre,21.2
1990-11,K02000001,Price,Pence per litre,18.18
1990-12,K02000001,Price,Pence per litre,18.13
1991-01,K02000001,Price,Pence per litre,18.98
1991-02,K02000001,Price,Pence per litre,18.95
1991-03,K02000001,Price,Pence per litre,18.43
1991-04,K02000001,Price,Pence per litre,18.04
1991-05,K02000001,Price,Pence per litre,16.22
1991-06,K02000001,Price,Pence per litre,16.89
1991-07,K02000001,Price,Pence per litre,22.45
1991-08,K02000001,Price,Pence per litre,23.99
1991-09,K02000001,Price,Pence per litre,23.59
1991-10,K02000001,Price,Pence per litre,23.45
1991-11,K02000001,Price,Pence per litre,19.98
1991-12,K02000001,Price,Pence per litre,19.77
1992-01,K02000001,Price,Pence per litre,19.54
1992-02,K02000001,Price,Pence per litre,19.52
1992-03,K02000001,Price,Pence per litre,19.3
1992-04,K02000001,Price,Pence per litre,18.98
1992-05,K02000001,Price,Pence per litre,17.08
1992-06,K02000001,Price,Pence per litre,17.54
1992-07,K02000001,Price,Pence per litre,23.49
1992-08,K02000001,Price,Pence per litre,25.15
1992-09,K02000001,Price,Pence per litre,25.04
1992-10,K02000001,Price,Pence per litre,24.61
1992-11,K02000001,Price,Pence per litre,21.12
1992-12,K02000001,Price,Pence per litre,20.99
1993-01,K02000001,Price,Pence per litre,20.69
1993-02,K02000001,Price,Pence per litre,20.4
1993-03,K02000001,Price,Pence per litre,20.21
1993-04,K02000001,Price,Pence per litre,20
1993-05,K02000001,Price,Pence per litre,18.1
1993-06,K02000001,Price,Pence per litre,18.54
1993-07,K02000001,Price,Pence per litre,24.54
1993-08,K02000001,Price,Pence per litre,26.21
1993-09,K02000001,Price,Pence per litre,26.05
1993-10,K02000001,Price,Pence per litre,25.6
1993-11,K02000001,Price,Pence per litre,21.92
1993-12,K02000001,Price,Pence per litre,21.53
1994-01,K02000001,Price,Pence per litre,21.04
1994-02,K02000001,Price,Pence per litre,20.79
1994-03,K02000001,Price,Pence per litre,20.61
1994-04,K02000001,Price,Pence per litre,19.31
1994-04,K02000001,Butterfat,Percentage,4.08
1994-05,K02000001,Price,Pence per litre,18.92
1994-05,K02000001,Butterfat,Percentage,3.96
1994-06,K02000001,Price,Pence per litre,20.17
1994-06,K02000001,Butterfat,Percentage,3.89
1994-07,K02000001,Price,Pence per litre,24.06
1994-07,K02000001,Butterfat,Percentage,3.96
1994-08,K02000001,Price,Pence per litre,24.27
1994-08,K02000001,Butterfat,Percentage,4.01
1994-09,K02000001,Price,Pence per litre,24.22
1994-09,K02000001,Butterfat,Percentage,4.19
1994-10,K02000001,Price,Pence per litre,23.39
1994-10,K02000001,Butterfat,Percentage,4.23
1994-11,K03000001,Price,Pence per litre,24.34
1994-11,K03000001,Volume,Million litres,1102
1994-11,K03000001,Butterfat,Percentage,4.15
1994-11,K03000001,Protein,Percentage,3.26
1994-12,K03000001,Price,Pence per litre,24.09
1994-12,K03000001,Volume,Million litres,1131
1994-12,K03000001,Butterfat,Percentage,4.12
1994-12,K03000001,Protein,Percentage,3.21
1995-01,K02000001,Price,Pence per litre,23.81
1995-01,K02000001,Volume,Million litres,1114
1995-01,K02000001,Butterfat,Percentage,4.14
1995-01,K02000001,Protein,Percentage,3.16
1995-02,K02000001,Price,Pence per litre,23.59
1995-02,K02000001,Volume,Million litres,989
1995-02,K02000001,Butterfat,Percentage,4.08
1995-02,K02000001,Protein,Percentage,3.12
1995-03,K02000001,Price,Pence per litre,23.73
1995-03,K02000001,Volume,Million litres,1077
1995-03,K02000001,Butterfat,Percentage,4.12
1995-03,K02000001,Protein,Percentage,3.14
1995-04,K02000001,Price,Pence per litre,22.46
1995-04,K02000001,Volume,Million litres,1177
1995-04,K02000001,Butterfat,Percentage,4.07
1995-04,K02000001,Protein,Percentage,3.16
1995-05,K02000001,Price,Pence per litre,22.08
1995-05,K02000001,Volume,Million litres,1305
1995-05,K02000001,Butterfat,Percentage,3.92
1995-05,K02000001,Protein,Percentage,3.29
1995-06,K02000001,Price,Pence per litre,23.6
1995-06,K02000001,Volume,Million litres,1195
1995-06,K02000001,Butterfat,Percentage,3.95
1995-06,K02000001,Protein,Percentage,3.31
1995-07,K02000001,Price,Pence per litre,26.03
1995-07,K02000001,Volume,Million litres,1154
1995-07,K02000001,Butterfat,Percentage,3.92
1995-07,K02000001,Protein,Percentage,3.2
1995-08,K02000001,Price,Pence per litre,26.06
1995-08,K02000001,Volume,Million litres,1109
1995-08,K02000001,Butterfat,Percentage,3.92
1995-08,K02000001,Protein,Percentage,3.18
1995-09,K02000001,Price,Pence per litre,26.1
1995-09,K02000001,Volume,Million litres,1080
1995-09,K02000001,Butterfat,Percentage,4.07
1995-09,K02000001,Protein,Percentage,3.29
1995-10,K02000001,Price,Pence per litre,26.3
1995-10,K02000001,Volume,Million litres,1163
1995-10,K02000001,Butterfat,Percentage,4.15
1995-10,K02000001,Protein,Percentage,3.36
1995-11,K02000001,Price,Pence per litre,25.13
1995-11,K02000001,Volume,Million litres,1129
1995-11,K02000001,Butterfat,Percentage,4.17
1995-11,K02000001,Protein,Percentage,3.35
1995-12,K02000001,Price,Pence per litre,25.06
1995-12,K02000001,Volume,Million litres,1177
1995-12,K02000001,Butterfat,Percentage,4.15
